DOCKET NUMBER,NOV NUMBER,ADDRESS,STREET NUMBER,STREET DIRECTION,STREET NAME,STREET TYPE,WARD,ISSUING DEPARTMENT,HEARING DATE,CASE DISPOSITION,IMPOSED FINE,ADMIN COSTS,VIOLATION CODE
17BT00189A,16S0501748,7800 S SOUTH SHORE DR,7800,S,SOUTH SHORE,DR,7,Buildings,3/7/17,Default,"$9,500 ",$40 ,65034
17BT00189A,16S0501748,7800 S SOUTH SHORE DR,7800,S,SOUTH SHORE,DR,7,Buildings,3/7/17,Default,"$9,500 ",$40 ,197079
17BT00189A,16S0501748,7800 S SOUTH SHORE DR,7800,S,SOUTH SHORE,DR,7,Buildings,3/7/17,Default,"$9,500 ",$40 ,105015
17BT00189A,16S0501748,7800 S SOUTH SHORE DR,7800,S,SOUTH SHORE,DR,7,Buildings,3/7/17,Default,"$9,500 ",$40 ,220039
17BT00189A,16S0501748,7800 S SOUTH SHORE DR,7800,S,SOUTH SHORE,DR,7,Buildings,3/7/17,Default,"$9,500 ",$40 ,102015
17BT00189A,16S0501748,7800 S SOUTH SHORE DR,7800,S,SOUTH SHORE,DR,7,Buildings,3/7/17,Default,"$9,500 ",$40 ,162017
17BT00189A,16S0501748,7800 S SOUTH SHORE DR,7800,S,SOUTH SHORE,DR,7,Buildings,3/7/17,Default,"$9,500 ",$40 ,101015
17BT00189A,16S0501748,7800 S SOUTH SHORE DR,7800,S,SOUTH SHORE,DR,7,Buildings,3/7/17,Default,"$9,500 ",$40 ,220019
17BT00189A,16S0501748,7800 S SOUTH SHORE DR,7800,S,SOUTH SHORE,DR,7,Buildings,3/7/17,Default,"$9,500 ",$40 ,220018
17BT00189A,16S0501748,7800 S SOUTH SHORE DR,7800,S,SOUTH SHORE,DR,7,Buildings,3/7/17,Default,"$9,500 ",$40 ,131036
17BT00189A,16S0501748,7800 S SOUTH SHORE DR,7800,S,SOUTH SHORE,DR,7,Buildings,3/7/17,Default,"$9,500 ",$40 ,136016
17BT00100A,16SO501370,8133 S VERNON AVE,8133,S,VERNON,AVE,6,Buildings,3/1/17,Default,"$9,200 ",$40 ,138106
17BT00100A,16SO501370,8133 S VERNON AVE,8133,S,VERNON,AVE,6,Buildings,3/1/17,Default,"$9,200 ",$40 ,196029
17BT00100A,16SO501370,8133 S VERNON AVE,8133,S,VERNON,AVE,6,Buildings,3/1/17,Default,"$9,200 ",$40 ,105025
17BT00100A,16SO501370,8133 S VERNON AVE,8133,S,VERNON,AVE,6,Buildings,3/1/17,Default,"$9,200 ",$40 ,198019
17BT00100A,16SO501370,8133 S VERNON AVE,8133,S,VERNON,AVE,6,Buildings,3/1/17,Default,"$9,200 ",$40 ,101015
17BT00100A,16SO501370,8133 S VERNON AVE,8133,S,VERNON,AVE,6,Buildings,3/1/17,Default,"$9,200 ",$40 ,69034
17BT00100A,16SO501370,8133 S VERNON AVE,8133,S,VERNON,AVE,6,Buildings,3/1/17,Default,"$9,200 ",$40 ,105015
17BT00100A,16SO501370,8133 S VERNON AVE,8133,S,VERNON,AVE,6,Buildings,3/1/17,Default,"$9,200 ",$40 ,74014
17BT00100A,16SO501370,8133 S VERNON AVE,8133,S,VERNON,AVE,6,Buildings,3/1/17,Default,"$9,200 ",$40 ,62024
17BT00100A,16SO501370,8133 S VERNON AVE,8133,S,VERNON,AVE,6,Buildings,3/1/17,Default,"$9,200 ",$40 ,63014
17BT00100A,16SO501370,8133 S VERNON AVE,8133,S,VERNON,AVE,6,Buildings,3/1/17,Default,"$9,200 ",$40 ,190019
17BT00100A,16SO501370,8133 S VERNON AVE,8133,S,VERNON,AVE,6,Buildings,3/1/17,Default,"$9,200 ",$40 ,104035
17BT00100A,16SO501370,8133 S VERNON AVE,8133,S,VERNON,AVE,6,Buildings,3/1/17,Default,"$9,200 ",$40 ,70024
17BT00100A,16SO501370,8133 S VERNON AVE,8133,S,VERNON,AVE,6,Buildings,3/1/17,Default,"$9,200 ",$40 ,103015
17BT00100A,16SO501370,8133 S VERNON AVE,8133,S,VERNON,AVE,6,Buildings,3/1/17,Default,"$9,200 ",$40 ,41063
17BT00100A,16SO501370,8133 S VERNON AVE,8133,S,VERNON,AVE,6,Buildings,3/1/17,Default,"$9,200 ",$40 ,65034
17BT00100A,16SO501370,8133 S VERNON AVE,8133,S,VERNON,AVE,6,Buildings,3/1/17,Default,"$9,200 ",$40 ,64014
17BT00100A,16SO501370,8133 S VERNON AVE,8133,S,VERNON,AVE,6,Buildings,3/1/17,Default,"$9,200 ",$40 ,74024
17BT00100A,16SO501370,8133 S VERNON AVE,8133,S,VERNON,AVE,6,Buildings,3/1/17,Default,"$9,200 ",$40 ,79014
16BT05951A,16S0496903,11245 S DR MARTIN LUTHER KING JR DR,11245,S,DR MARTIN LUTHER KING JR,DR,9,Buildings,3/3/17,Default,"$8,000 ",$40 ,61014
16BT05951A,16S0496903,11245 S DR MARTIN LUTHER KING JR DR,11245,S,DR MARTIN LUTHER KING JR,DR,9,Buildings,3/3/17,Default,"$8,000 ",$40 ,73044
16BT05951A,16S0496903,11245 S DR MARTIN LUTHER KING JR DR,11245,S,DR MARTIN LUTHER KING JR,DR,9,Buildings,3/3/17,Default,"$8,000 ",$40 ,104035
16BT05951A,16S0496903,11245 S DR MARTIN LUTHER KING JR DR,11245,S,DR MARTIN LUTHER KING JR,DR,9,Buildings,3/3/17,Default,"$8,000 ",$40 ,101015
16BT05951A,16S0496903,11245 S DR MARTIN LUTHER KING JR DR,11245,S,DR MARTIN LUTHER KING JR,DR,9,Buildings,3/3/17,Default,"$8,000 ",$40 ,133016
16BT05951A,16S0496903,11245 S DR MARTIN LUTHER KING JR DR,11245,S,DR MARTIN LUTHER KING JR,DR,9,Buildings,3/3/17,Default,"$8,000 ",$40 ,190020
16BT05951A,16S0496903,11245 S DR MARTIN LUTHER KING JR DR,11245,S,DR MARTIN LUTHER KING JR,DR,9,Buildings,3/3/17,Default,"$8,000 ",$40 ,140016
16BT05951A,16S0496903,11245 S DR MARTIN LUTHER KING JR DR,11245,S,DR MARTIN LUTHER KING JR,DR,9,Buildings,3/3/17,Default,"$8,000 ",$40 ,197019
16BT05951A,16S0496903,11245 S DR MARTIN LUTHER KING JR DR,11245,S,DR MARTIN LUTHER KING JR,DR,9,Buildings,3/3/17,Default,"$8,000 ",$40 ,104055
16BT05951A,16S0496903,11245 S DR MARTIN LUTHER KING JR DR,11245,S,DR MARTIN LUTHER KING JR,DR,9,Buildings,3/3/17,Default,"$8,000 ",$40 ,63014
16BT05951A,16S0496903,11245 S DR MARTIN LUTHER KING JR DR,11245,S,DR MARTIN LUTHER KING JR,DR,9,Buildings,3/3/17,Default,"$8,000 ",$40 ,190019
16BT05951A,16S0496903,11245 S DR MARTIN LUTHER KING JR DR,11245,S,DR MARTIN LUTHER KING JR,DR,9,Buildings,3/3/17,Default,"$8,000 ",$40 ,74014
16BT05951A,16S0496903,11245 S DR MARTIN LUTHER KING JR DR,11245,S,DR MARTIN LUTHER KING JR,DR,9,Buildings,3/3/17,Default,"$8,000 ",$40 ,41063
